Date;pm25med;deaths
01/01/2020;93;0
02/01/2020;72;0
03/01/2020;99;0
04/01/2020;30;0
05/01/2020;30;0
06/01/2020;57;0
07/01/2020;78;0
08/01/2020;72;0
09/01/2020;72;0
10/01/2020;30;0
11/01/2020;30;0
12/01/2020;68;0
13/01/2020;80;0
14/01/2020;76;0
15/01/2020;80;0
16/01/2020;76;0
17/01/2020;38;0
18/01/2020;50;0
19/01/2020;17;0
20/01/2020;17;0
21/01/2020;13;0
22/01/2020;42;0
23/01/2020;65;0
24/01/2020;55;0
25/01/2020;42;0
26/01/2020;42;0
27/01/2020;38;0
28/01/2020;17;0
29/01/2020;21;0
30/01/2020;38;0
31/01/2020;25;0
01/02/2020;21;0
02/02/2020;46;0
03/02/2020;72;0
04/02/2020;70;0
05/02/2020;25;0
06/02/2020;55;0
07/02/2020;65;0
08/02/2020;74;0
09/02/2020;61;0
10/02/2020;57;0
11/02/2020;74;0
12/02/2020;78;0
13/02/2020;68;0
14/02/2020;68;0
15/02/2020;68;0
16/02/2020;63;0
17/02/2020;46;0
18/02/2020;38;0
19/02/2020;30;0
20/02/2020;55;0
21/02/2020;46;0
22/02/2020;57;0
23/02/2020;46;0
24/02/2020;53;0
25/02/2020;42;0
26/02/2020;21;0
27/02/2020;53;0
28/02/2020;78;0
29/02/2020;42;0
01/03/2020;21;0
02/03/2020;17;0
03/03/2020;25;0
04/03/2020;21;0
05/03/2020;21;1
06/03/2020;13;2
07/03/2020;21;2
08/03/2020;38;0
09/03/2020;30;0
10/03/2020;50;23
11/03/2020;55;7
12/03/2020;50;12
13/03/2020;55;37
14/03/2020;42;37
15/03/2020;38;15
16/03/2020;17;152
17/03/2020;21;21
18/03/2020;50;182
19/03/2020;46;107
20/03/2020;46;169
21/03/2020;34;235
22/03/2020;17;324
23/03/2020;17;394
24/03/2020;25;462
25/03/2020;38;514
26/03/2020;30;738
27/03/2020;38;655
28/03/2020;25;769
29/03/2020;34;832
30/03/2020;25;838
31/03/2020;21;812
01/04/2020;21;849
02/04/2020;25;864
03/04/2020;30;950
04/04/2020;30;932
05/04/2020;30;809
06/04/2020;25;674
07/04/2020;30;637
08/04/2020;46;743
09/04/2020;42;757
10/04/2020;42;683
11/04/2020;38;605
12/04/2020;42;510
13/04/2020;46;619
14/04/2020;42;517
15/04/2020;25;787
16/04/2020;25;617
17/04/2020;25;585
18/04/2020;30;565
20/04/2020;25;399
21/04/2020;17;430
22/04/2020;21;435
23/04/2020;30;440
24/04/2020;34;367
25/04/2020;34;378
26/04/2020;34;288
27/04/2020;25;316
28/04/2020;21;316
29/04/2020;21;453
30/04/2020;25;268
01/05/2020;21;281
02/05/2020;25;276
03/05/2020;34;164
04/05/2020;46;164
05/05/2020;17;185
06/05/2020;30;244
07/05/2020;38;213
08/05/2020;34;181
09/05/2020;42;227
10/05/2020;17;143
11/05/2020;17;123
12/05/2020;25;176
13/05/2020;21;184
14/05/2020;21;217
15/05/2020;17;138
16/05/2020;21;104
17/05/2020;34;87
18/05/2020;34;59
19/05/2020;30;69
20/05/2020;30;110
21/05/2020;38;52
22/05/2020;57;688
23/05/2020;53;50
24/05/2020;38;74
26/05/2020;34;283
27/05/2020;38;50
28/05/2020;38;50
29/05/2020;42;50
30/05/2020;46;50
31/05/2020;46;50
01/06/2020;46;50
02/06/2020;57;50
03/06/2020;55;50
04/06/2020;38;50
05/06/2020;30;50
06/06/2020;38;50
