dateRep;day;month;year;cases;deaths;countriesAndTerritories
14/12/2020;14;12;2020;6;0;Australia
13/12/2020;13;12;2020;13;0;Australia
12/12/2020;12;12;2020;12;0;Australia
11/12/2020;11;12;2020;7;0;Australia
10/12/2020;10;12;2020;6;0;Australia
09/12/2020;9;12;2020;15;0;Australia
08/12/2020;8;12;2020;7;0;Australia
07/12/2020;7;12;2020;9;0;Australia
06/12/2020;6;12;2020;7;0;Australia
05/12/2020;5;12;2020;10;0;Australia
04/12/2020;4;12;2020;16;0;Australia
03/12/2020;3;12;2020;11;0;Australia
02/12/2020;2;12;2020;8;0;Australia
01/12/2020;1;12;2020;11;1;Australia
30/11/2020;30;11;2020;8;0;Australia
29/11/2020;29;11;2020;11;0;Australia
28/11/2020;28;11;2020;7;0;Australia
27/11/2020;27;11;2020;13;0;Australia
26/11/2020;26;11;2020;6;0;Australia
25/11/2020;25;11;2020;13;0;Australia
24/11/2020;24;11;2020;14;0;Australia
23/11/2020;23;11;2020;14;0;Australia
22/11/2020;22;11;2020;18;0;Australia
21/11/2020;21;11;2020;5;0;Australia
20/11/2020;20;11;2020;7;0;Australia
19/11/2020;19;11;2020;21;0;Australia
18/11/2020;18;11;2020;6;0;Australia
17/11/2020;17;11;2020;25;0;Australia
16/11/2020;16;11;2020;14;0;Australia
15/11/2020;15;11;2020;8;0;Australia
14/11/2020;14;11;2020;5;0;Australia
13/11/2020;13;11;2020;12;0;Australia
12/11/2020;12;11;2020;8;0;Australia
11/11/2020;11;11;2020;10;0;Australia
10/11/2020;10;11;2020;10;0;Australia
09/11/2020;9;11;2020;6;0;Australia
08/11/2020;8;11;2020;7;0;Australia
07/11/2020;7;11;2020;12;0;Australia
06/11/2020;6;11;2020;11;0;Australia
05/11/2020;5;11;2020;12;0;Australia
04/11/2020;4;11;2020;8;0;Australia
03/11/2020;3;11;2020;7;0;Australia
02/11/2020;2;11;2020;5;0;Australia
01/11/2020;1;11;2020;8;0;Australia
31/10/2020;31;10;2020;13;0;Australia
30/10/2020;30;10;2020;15;0;Australia
29/10/2020;29;10;2020;13;2;Australia
28/10/2020;28;10;2020;14;0;Australia
27/10/2020;27;10;2020;7;0;Australia
26/10/2020;26;10;2020;21;0;Australia
25/10/2020;25;10;2020;15;0;Australia
24/10/2020;24;10;2020;18;0;Australia
23/10/2020;23;10;2020;22;0;Australia
22/10/2020;22;10;2020;14;0;Australia
21/10/2020;21;10;2020;31;0;Australia
20/10/2020;20;10;2020;9;1;Australia
19/10/2020;19;10;2020;7;0;Australia
18/10/2020;18;10;2020;12;0;Australia
17/10/2020;17;10;2020;9;0;Australia
16/10/2020;16;10;2020;21;0;Australia
15/10/2020;15;10;2020;24;5;Australia
14/10/2020;14;10;2020;31;1;Australia
13/10/2020;13;10;2020;22;0;Australia
12/10/2020;12;10;2020;20;1;Australia
11/10/2020;11;10;2020;15;0;Australia
10/10/2020;10;10;2020;23;0;Australia
09/10/2020;9;10;2020;24;0;Australia
08/10/2020;8;10;2020;8;2;Australia
07/10/2020;7;10;2020;25;1;Australia
06/10/2020;6;10;2020;13;0;Australia
05/10/2020;5;10;2020;15;1;Australia
04/10/2020;4;10;2020;8;3;Australia
03/10/2020;3;10;2020;17;2;Australia
02/10/2020;2;10;2020;33;6;Australia
01/10/2020;1;10;2020;0;0;Australia
30/09/2020;30;9;2020;19;7;Australia
29/09/2020;29;9;2020;4;3;Australia
28/09/2020;28;9;2020;24;2;Australia
27/09/2020;27;9;2020;16;1;Australia
26/09/2020;26;9;2020;17;8;Australia
25/09/2020;25;9;2020;10;2;Australia
24/09/2020;24;9;2020;31;5;Australia
23/09/2020;23;9;2020;30;3;Australia
22/09/2020;22;9;2020;14;2;Australia
21/09/2020;21;9;2020;13;5;Australia
20/09/2020;20;9;2020;24;7;Australia
19/09/2020;19;9;2020;48;5;Australia
18/09/2020;18;9;2020;34;8;Australia
17/09/2020;17;9;2020;41;8;Australia
16/09/2020;16;9;2020;46;0;Australia
15/09/2020;15;9;2020;41;6;Australia
14/09/2020;14;9;2020;44;7;Australia
13/09/2020;13;9;2020;42;6;Australia
12/09/2020;12;9;2020;52;9;Australia
11/09/2020;11;9;2020;48;7;Australia
10/09/2020;10;9;2020;91;11;Australia
09/09/2020;9;9;2020;52;8;Australia
08/09/2020;8;9;2020;43;9;Australia
07/09/2020;7;9;2020;72;5;Australia
06/09/2020;6;9;2020;71;11;Australia
05/09/2020;5;9;2020;87;59;Australia
04/09/2020;4;9;2020;126;15;Australia
03/09/2020;3;9;2020;104;6;Australia
02/09/2020;2;9;2020;73;5;Australia
01/09/2020;1;9;2020;76;41;Australia
31/08/2020;31;8;2020;123;11;Australia
30/08/2020;30;8;2020;99;17;Australia
29/08/2020;29;8;2020;126;11;Australia
28/08/2020;28;8;2020;117;23;Australia
27/08/2020;27;8;2020;152;24;Australia
26/08/2020;26;8;2020;137;8;Australia
25/08/2020;25;8;2020;104;15;Australia
24/08/2020;24;8;2020;210;17;Australia
23/08/2020;23;8;2020;195;13;Australia
22/08/2020;22;8;2020;171;9;Australia
21/08/2020;21;8;2020;243;13;Australia
20/08/2020;20;8;2020;220;12;Australia
19/08/2020;19;8;2020;174;17;Australia
18/08/2020;18;8;2020;311;25;Australia
17/08/2020;17;8;2020;253;17;Australia
16/08/2020;16;8;2020;292;4;Australia
15/08/2020;15;8;2020;385;14;Australia
14/08/2020;14;8;2020;231;9;Australia
13/08/2020;13;8;2020;414;21;Australia
12/08/2020;12;8;2020;316;18;Australia
11/08/2020;11;8;2020;313;18;Australia
10/08/2020;10;8;2020;386;17;Australia
09/08/2020;9;8;2020;426;12;Australia
08/08/2020;8;8;2020;410;11;Australia
07/08/2020;7;8;2020;418;8;Australia
06/08/2020;6;8;2020;715;15;Australia
05/08/2020;5;8;2020;411;11;Australia
04/08/2020;4;8;2020;395;13;Australia
03/08/2020;3;8;2020;641;8;Australia
02/08/2020;2;8;2020;377;4;Australia
01/08/2020;1;8;2020;602;7;Australia
31/07/2020;31;7;2020;721;13;Australia
30/07/2020;30;7;2020;278;9;Australia
29/07/2020;29;7;2020;369;6;Australia
28/07/2020;28;7;2020;532;6;Australia
27/07/2020;27;7;2020;453;10;Australia
26/07/2020;26;7;2020;355;6;Australia
25/07/2020;25;7;2020;289;6;Australia
24/07/2020;24;7;2020;410;5;Australia
23/07/2020;23;7;2020;468;2;Australia
22/07/2020;22;7;2020;359;3;Australia
21/07/2020;21;7;2020;267;1;Australia
20/07/2020;20;7;2020;361;4;Australia
19/07/2020;19;7;2020;206;2;Australia
18/07/2020;18;7;2020;425;3;Australia
17/07/2020;17;7;2020;315;2;Australia
16/07/2020;16;7;2020;244;3;Australia
15/07/2020;15;7;2020;271;0;Australia
14/07/2020;14;7;2020;183;0;Australia
13/07/2020;13;7;2020;244;1;Australia
12/07/2020;12;7;2020;194;1;Australia
11/07/2020;11;7;2020;300;0;Australia
10/07/2020;10;7;2020;173;0;Australia
09/07/2020;9;7;2020;131;0;Australia
08/07/2020;8;7;2020;169;0;Australia
07/07/2020;7;7;2020;137;2;Australia
06/07/2020;6;7;2020;87;0;Australia
05/07/2020;5;7;2020;107;0;Australia
04/07/2020;4;7;2020;254;0;Australia
03/07/2020;3;7;2020;81;0;Australia
02/07/2020;2;7;2020;86;0;Australia
01/07/2020;1;7;2020;67;0;Australia
30/06/2020;30;6;2020;81;0;Australia
29/06/2020;29;6;2020;45;0;Australia
28/06/2020;28;6;2020;46;0;Australia
27/06/2020;27;6;2020;37;0;Australia
26/06/2020;26;6;2020;37;1;Australia
25/06/2020;25;6;2020;29;1;Australia
24/06/2020;24;6;2020;18;0;Australia
23/06/2020;23;6;2020;13;0;Australia
22/06/2020;22;6;2020;25;0;Australia
21/06/2020;21;6;2020;27;0;Australia
20/06/2020;20;6;2020;18;0;Australia
19/06/2020;19;6;2020;21;0;Australia
18/06/2020;18;6;2020;23;0;Australia
17/06/2020;17;6;2020;12;0;Australia
16/06/2020;16;6;2020;15;0;Australia
15/06/2020;15;6;2020;18;0;Australia
14/06/2020;14;6;2020;12;0;Australia
13/06/2020;13;6;2020;5;0;Australia
12/06/2020;12;6;2020;9;0;Australia
11/06/2020;11;6;2020;9;0;Australia
10/06/2020;10;6;2020;2;0;Australia
09/06/2020;9;6;2020;5;0;Australia
08/06/2020;8;6;2020;5;0;Australia
07/06/2020;7;6;2020;4;0;Australia
06/06/2020;6;6;2020;11;0;Australia
05/06/2020;5;6;2020;11;0;Australia
04/06/2020;4;6;2020;8;0;Australia
03/06/2020;3;6;2020;17;0;Australia
02/06/2020;2;6;2020;9;0;Australia
01/06/2020;1;6;2020;10;0;Australia
31/05/2020;31;5;2020;12;0;Australia
30/05/2020;30;5;2020;23;0;Australia
29/05/2020;29;5;2020;11;0;Australia
28/05/2020;28;5;2020;6;0;Australia
27/05/2020;27;5;2020;15;0;Australia
26/05/2020;26;5;2020;9;0;Australia
25/05/2020;25;5;2020;3;0;Australia
24/05/2020;24;5;2020;11;1;Australia
23/05/2020;23;5;2020;14;1;Australia
22/05/2020;22;5;2020;2;0;Australia
21/05/2020;21;5;2020;11;1;Australia
20/05/2020;20;5;2020;8;0;Australia
19/05/2020;19;5;2020;15;1;Australia
18/05/2020;18;5;2020;9;0;Australia
17/05/2020;17;5;2020;17;0;Australia
16/05/2020;16;5;2020;30;0;Australia
15/05/2020;15;5;2020;14;0;Australia
14/05/2020;14;5;2020;11;1;Australia
13/05/2020;13;5;2020;16;0;Australia
12/05/2020;12;5;2020;7;0;Australia
11/05/2020;11;5;2020;12;0;Australia
10/05/2020;10;5;2020;15;0;Australia
09/05/2020;9;5;2020;18;0;Australia
08/05/2020;8;5;2020;21;0;Australia
07/05/2020;7;5;2020;26;1;Australia
06/05/2020;6;5;2020;24;1;Australia
05/05/2020;5;5;2020;24;0;Australia
04/05/2020;4;5;2020;18;2;Australia
03/05/2020;3;5;2020;16;0;Australia
02/05/2020;2;5;2020;5;1;Australia
01/05/2020;1;5;2020;16;2;Australia
30/04/2020;30;4;2020;8;2;Australia
29/04/2020;29;4;2020;13;4;Australia
28/04/2020;28;4;2020;12;1;Australia
27/04/2020;27;4;2020;10;2;Australia
26/04/2020;26;4;2020;16;2;Australia
25/04/2020;25;4;2020;20;4;Australia
24/04/2020;24;4;2020;13;1;Australia
23/04/2020;23;4;2020;7;0;Australia
22/04/2020;22;4;2020;22;3;Australia
21/04/2020;21;4;2020;13;1;Australia
20/04/2020;20;4;2020;26;1;Australia
19/04/2020;19;4;2020;53;2;Australia
18/04/2020;18;4;2020;36;4;Australia
17/04/2020;17;4;2020;39;0;Australia
16/04/2020;16;4;2020;42;2;Australia
15/04/2020;15;4;2020;50;0;Australia
14/04/2020;14;4;2020;44;0;Australia
13/04/2020;13;4;2020;33;4;Australia
12/04/2020;12;4;2020;51;3;Australia
11/04/2020;11;4;2020;86;2;Australia
10/04/2020;10;4;2020;100;2;Australia
09/04/2020;9;4;2020;96;5;Australia
08/04/2020;8;4;2020;112;3;Australia
07/04/2020;7;4;2020;100;6;Australia
06/04/2020;6;4;2020;57;2;Australia
05/04/2020;5;4;2020;139;4;Australia
04/04/2020;4;4;2020;324;7;Australia
03/04/2020;3;4;2020;248;2;Australia
02/04/2020;2;4;2020;269;1;Australia
01/04/2020;1;4;2020;150;1;Australia
31/03/2020;31;3;2020;464;3;Australia
30/03/2020;30;3;2020;284;2;Australia
29/03/2020;29;3;2020;431;1;Australia
28/03/2020;28;3;2020;212;0;Australia
27/03/2020;27;3;2020;367;2;Australia
26/03/2020;26;3;2020;376;3;Australia
25/03/2020;25;3;2020;600;1;Australia
24/03/2020;24;3;2020;114;0;Australia
23/03/2020;23;3;2020;611;0;Australia
22/03/2020;22;3;2020;224;0;Australia
21/03/2020;21;3;2020;165;1;Australia
20/03/2020;20;3;2020;144;0;Australia
